tgnID	placename	lat	lon	freq
2026331	America	37.133	-88.883	000000135
2469205	Longbridge	40.267	-78.717	000000018
2114993	Westover	37.3	-76.85	000000024
2114316	Spotsylvania	38.2	-77.417	000000172
2220712	Capitol	41.767	-111.117	000000034
7013604	Cincinnati	39.15	-83.55	000000142
2002163	Goochland	38.733	-77.083	000000188
7006278	Magyarország	47.0	20.0	000000046
2077361	Yanceyville	36.4	-78.667	000000026
1002267	Chesterfield	37.383	-77.4	000000250
2078723	Canfield	41.017	-80.25	000000008
2058207	Burksville	40.85	-91.083	000000012
7018871	King	47.467	-121.183	000000046
2114385	Stevensville	38.717	-76.083	000000034
7008139	Hampshire	51.083	-0.833	000000004
2002158	Floyd	37.917	-79.6	000000006
2622925	Robinson River	39.55	-77.667	000000012
2098756	Dandridge	36.0	-82.6	000000014
1000080	Italia	43.833	13.833	000000106
1000144	Türkiye	39.0	35.0	000000030
1000066	Danmark	56.0	10.0	000000112
1000097	Sverige	62.0	15.0	000000022
7011731	Schweiz	47.0	8.0	000000016
7014191	Natchitoches	32.75	-92.917	000000094
7013268	Alexandria	31.3	-91.567	000000048
2611945	Red River	31.017	-91.25	000000030
2042317	Benton	33.683	-93.267	000000030
2000894	Red River	32.083	-92.65	000000030
7001314	Algiers	37.783	3.05	000000018
7016129	Jackson	32.283	-89.817	000000142
2057171	Pascagoula	30.35	-88.45	000000040
7022231	Mississippi River	47.233	-94.8	000000332
2424997	Johnson Island	41.483	-82.267	000000046
2216708	Camp Douglas	38.333	-117.817	000000034
7005804	Québec	54.0	-72.0	000000018
2112076	Halifax	37.75	-78.083	000000088
2696868	Stones River	36.983	-85.55	000000012
1003018	Westmoreland	38.117	-76.217	000000002
7013732	Huntsville	35.717	-86.417	000000100
2295265	Drewrys Bluff	37.417	-76.55	000000382
2002177	Orange	38.25	-77.967	000000060
2002138	Alleghany	38.783	-80.0	000000014
1002667	Middlesex	38.6	-76.433	000000058
2111189	Chula	37.383	-77.1	000000022
7013727	Houston	30.75	-94.65	000000060
7013649	Cook	42.833	-87.15	000000002
2070618	Montour Falls	42.333	-76.167	000000038
7007115	Monterrey	26.667	-99.683	000000002
2081017	New Matamoras	40.517	-80.933	000000031
7013459	Brownsville	26.9	-96.517	000000064
2105156	Indianola	29.5	-95.517	000000016
2485018	Lavacco	32.55	-91.017	000000006
2496263	Matagorda Peninsula	29.583	-95.983	000000006
